metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
iterations,1695730881,1.000000,,,,,,,,,default,,,,,,,
ws_sessions,1695730881,1.000000,,,,,,,,,default,,401,,,ws://localhost/ws/cs005,,
ws_connecting,1695730881,6.296547,,,,,,,,,default,,401,,,ws://localhost/ws/cs005,,
ws_session_duration,1695730881,6.326018,,,,,,,,,default,,401,,,ws://localhost/ws/cs005,,
checks,1695730881,0.000000,status is 101,,,,,,,,default,,,,,,,
data_sent,1695730881,292.000000,,,,,,,,,default,,,,,,,
data_received,1695730881,173.000000,,,,,,,,,default,,,,,,,
iteration_duration,1695730881,6.410347,,,,,,,,,default,,,,,,,
iterations,1695730881,1.000000,,,,,,,,,default,,,,,,,
ws_sessions,1695730881,1.000000,,,,,,,,,default,,401,,,ws://localhost/ws/cs005,,
ws_connecting,1695730881,8.104778,,,,,,,,,default,,401,,,ws://localhost/ws/cs005,,
ws_session_duration,1695730881,8.124358,,,,,,,,,default,,401,,,ws://localhost/ws/cs005,,
checks,1695730881,0.000000,status is 101,,,,,,,,default,,,,,,,
data_sent,1695730881,292.000000,,,,,,,,,default,,,,,,,
data_received,1695730881,173.000000,,,,,,,,,default,,,,,,,
iteration_duration,1695730881,8.197868,,,,,,,,,default,,,,,,,
iterations,1695730881,1.000000,,,,,,,,,default,,,,,,,
ws_sessions,1695730881,1.000000,,,,,,,,,default,,401,,,ws://localhost/ws/cs005,,
ws_connecting,1695730881,5.141125,,,,,,,,,default,,401,,,ws://localhost/ws/cs005,,
ws_session_duration,1695730881,5.160023,,,,,,,,,default,,401,,,ws://localhost/ws/cs005,,
checks,1695730881,0.000000,status is 101,,,,,,,,default,,,,,,,
data_sent,1695730881,292.000000,,,,,,,,,default,,,,,,,
data_received,1695730881,173.000000,,,,,,,,,default,,,,,,,
iteration_duration,1695730881,5.227015,,,,,,,,,default,,,,,,,
iterations,1695730881,1.000000,,,,,,,,,default,,,,,,,
ws_sessions,1695730881,1.000000,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
ws_connecting,1695730881,7.622808,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
ws_msgs_sent,1695730881,1.000000,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
ws_msgs_sent,1695730881,1.000000,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
ws_msgs_sent,1695730881,1.000000,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
ws_msgs_sent,1695730881,1.000000,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
ws_msgs_sent,1695730881,1.000000,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
ws_msgs_sent,1695730881,1.000000,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
ws_msgs_sent,1695730881,1.000000,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
ws_msgs_sent,1695730881,1.000000,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
ws_msgs_sent,1695730881,1.000000,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
ws_msgs_sent,1695730881,1.000000,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
ws_msgs_sent,1695730881,1.000000,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
ws_session_duration,1695730881,7.805431,,,,,,,,,default,,101,ocpp1.6,,ws://localhost/ws/cs001,,
checks,1695730881,1.000000,status is 101,,,,,,,,default,,,,,,,
data_sent,1695730881,1329.000000,,,,,,,,,default,,,,,,,
data_received,1695730881,162.000000,,,,,,,,,default,,,,,,,
iteration_duration,1695730881,7.863656,,,,,,,,,default,,,,,,,
iterations,1695730881,1.000000,,,,,,,,,default,,,,,,,
ws_sessions,1695730881,1.000000,,,,,,,,,default,,401,,,ws://localhost/ws/cs002,,
ws_connecting,1695730881,5.382271,,,,,,,,,default,,401,,,ws://localhost/ws/cs002,,
ws_session_duration,1695730881,5.409997,,,,,,,,,default,,401,,,ws://localhost/ws/cs002,,
checks,1695730881,0.000000,status is 101,,,,,,,,default,,,,,,,
data_sent,1695730881,292.000000,,,,,,,,,default,,,,,,,
